scientificName,vernecularName
Salvelinus alpinus,Røye
Coregonus lavaretus,Sik
Gasterosteus aculeatus,Trepigget stingslid
Carassius carassius,Karrus
Anguilla anguilla,Ål
Rutilus rutilus,Mort
Pungitius pungitius,Nipigget stingslid
Phoxinus phoxinus,Ørekyte
Thymallus thymallus,Harr
Esox lucius,Gjedde
Lota lota,Lake
Perca fluviatilis,Abbor
Micropterus dolomieu,Lakseabbor
Ameiurus nebulosus,Dvergmalle
Tinca tinca,Suter
Scardinius erythrophthalmus,Sørv
Aspius aspius,Asp
Leuciscus cephalus,Stam
Sander lucioperca,Gjørs
Blicca bjoerkna,Flire
Gymnocephalus cernus,Hork
Cottus,
Leuciscus idus,Vederbuk
Leuciscus leuciscus,Gullbust
Alburnus alburnus,Laue
Abramis brama,Brasme
Osmerus eperlanus,Krøkle
Coregonus albula,Lagesild
Lampetra fluviatilis,Elveniøye
Salvelinus fontinalis,Bekkerøye
Salvelinus namaycush,Kanadarøye
Salmo trutta,Ørret

